ticket_id,complaint_text,date,time,channel,city,state,zip_code,status,on_behalf,month,day,complaint_categories,primary_category,category_count,year,day_of_week
330180,"i called them to price internet service. was told $115 per month plus $9.95 shipping (this includes my former basic cable usage). after spending three hours to connect (because of modem issues) i receive a bill and it is for $133 a month. they overlooked including other fees and taxes. i would not have changed from att for no difference in price as i thought i was saving about $20 per month. classic bait and switch tactics knowing it is a pain to switch companies and reconnect everything. i feel they should be fined heavily when what they quote you turns out to be grossly (and i believe intentionally) under actual cost. they state they record these conversations i feel they should provide recorded conversation to verify what i am stating. i called their office and receive the normal ""well the representative erred and should have included all costs in his quote""  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 6/10/2015 10:48:06 am:  this constitutes a notice of informal complaint filed with the fcc against your company. your response to the consumer (with a copy to the fcc) is due no later than 30 days from the date of this notice.  for more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.  if you have any questions regarding this notice, please contact the fcc at carriersupport@fcc.gov.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 7/29/2015 3:45:25 pm:  hi  your ticket no. 330180 was served on your carrier for its review and response.  your carrier has provided the fcc with a response to your complaint. you should receive a copy of the response from the carrier within 7-10 days via postal mail. as such, no further action is required. your complaint is closed.  thank you for your complaint and help in furthering the fcc’s mission on behalf of consumers.  (b) (6)",2015-06-09,12:12:48 PM,internet,Chicago,Illinois,60611,solved,No,6.0,9.0,"['billing_issue', 'contract_dispute', 'installation_issue', 'equipment_issue', 'network_issue', 'service_change', 'customer_service']",billing_issue,7,2015.0,Tuesday
347580,"i have been charged twice a month for my internet and phone service, one charge is around mid-month for $78 and the other charge is end of month for $92, since jan 2015. i called them several time and they can't find my bill/charge for the $78, they still opened a claim and promised me will call me back, but never did.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 6/22/2015 2:40:05 pm:  this constitutes a notice of informal complaint filed with the fcc against your company. your response to the consumer (with a copy to the fcc) is due no later than 30 days from the date of this notice.  for more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.  if you have any questions regarding this notice, please contact the fcc at carriersupport@fcc.gov.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 7/14/2015 5:02:42 pm:  hi  your ticket no. 347580 was served on your carrier for its review and response.  your carrier has provided the fcc with a response to your complaint. you should receive a copy of the response from the carrier within 7-10 days via postal mail. as such, no further action is required. your complaint is closed.  thank you for your complaint and help in furthering the fcc’s mission on behalf of consumers.",2015-06-17,10:25:59 PM,internet,Chicago,Illinois,60616,solved,No,6.0,17.0,"['billing_issue', 'installation_issue', 'equipment_issue', 'service_change', 'customer_service']",billing_issue,5,2015.0,Wednesday
263143,"re; ticket #236263  comcast refuses to explain now charging me for tech support because i keep demanding they fix my xfinity cable. the charged me for service call their company said was needed then billed me @$100.+ when zero improvement has been seen. they refuse to return 20 or more calls to comcast billing last week michael m. or tanesha from comcast offered to send out another technician obviously a reference to my billing complaints. repeated harassment and retaliatory collection calls to my home over 25 calls in 5 days giving a countdown till disconnection all ending on the same day fcc filed my previous complaint. michael is the same comcast employee that told the bbb 2 months ago the system was fixed by plugging it back in.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 4/30/2015 11:31:22 am:  this request was closed and merged into request #236263 ""comcast corporation xfinity"".",2015-04-28,11:48:58 PM,internet,Pueblo,Colorado,81001,closed,No,4.0,28.0,"['billing_issue', 'installation_issue', 'equipment_issue', 'network_issue', 'service_change', 'customer_service']",billing_issue,6,2015.0,Tuesday
341405,"frequent outages and billing issues. i've called comcast at least 7 times now, trying to get my account right after moving, and i'm still being charged incorrectly. plus, we have frequent outages. apparently service is out for the next 45 min. based upon the last call to comcast. this is unacceptable. i'm using my cellular data plan currently, but i still get charged by comcast, even when they can't provide reliable service. please investigate. this is a common occurrence with this company.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 6/17/2015 8:38:09 am:  this constitutes a notice of informal complaint filed with the fcc against your company. your response to the consumer (with a copy to the fcc) is due no later than 30 days from the date of this notice.  for more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.  if you have any questions regarding this notice, please contact the fcc at carriersupport@fcc.gov.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 7/16/2015 7:30:20 am:  hi  your ticket no. 341405 was served on your carrier for its review and response.  your carrier has provided the fcc with a response to your complaint. you should receive a copy of the response from the carrier within 7-10 days via postal mail. as such, no further action is required. your complaint is closed.  thank you for your complaint and help in furthering the fcc’s mission on behalf of consumers.",2015-06-15,3:01:35 PM,internet,Chicago,Illinois,60657,solved,No,6.0,15.0,"['billing_issue', 'installation_issue', 'equipment_issue', 'network_issue', 'service_change', 'customer_service']",billing_issue,6,2015.0,Monday
340647,"i contacted comcast and i told them all i wanted was the internet at a reasonable price with out tv. they keep offering me the same over priced deal with tv which i do not want. i am on a budget and i told them that over and over again. i don't want cable at all just internet at a faster speed and the will not work with me. they only want to give the speed if you pay more and have the cable with it. 140- 150 channels with nothing on is a big waste of money.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 6/16/2015 2:04:33 pm:  this constitutes a notice of informal complaint filed with the fcc against your company. your response to the consumer (with a copy to the fcc) is due no later than 30 days from the date of this notice.  for more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.  if you have any questions regarding this notice, please contact the fcc at carriersupport@fcc.gov.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 7/17/2015 11:40:04 am:  hi  your ticket no. 340647 was served on your carrier for its review and response.  your carrier has provided the fcc with a response to your complaint. you should receive a copy of the response from the carrier within 7-10 days via postal mail. as such, no further action is required. your complaint is closed.  thank you for your complaint and help in furthering the fcc’s mission on behalf of consumers.  (b) (6)",2015-06-15,11:00:19 AM,internet,Marysville,California,95901,solved,No,6.0,15.0,"['installation_issue', 'equipment_issue', 'network_issue', 'service_change', 'customer_service']",installation_issue,5,2015.0,Monday
325903,"i pay comcast a ridiculous amount of money every month yet they've blocked access to hbo go on the ps3 and ps4. i find this tactic bullying. in essence they're forcing us to only view hbo on their set top boxes; not allowing us to stream to whatever device the service is available on.  comcast subscribers with the playstation 3 and 4 are being urged to file a complaint with the fcc regarding this matter.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 6/8/2015 10:22:04 am:  this constitutes a notice of informal complaint filed with the fcc against your company. your response to the consumer (with a copy to the fcc) is due no later than 30 days from the date of this notice.  for more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.  if you have any questions regarding this notice, please contact the fcc at carriersupport@fcc.gov.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 7/14/2015 3:44:31 pm:  hi  your ticket no. 325903 was served on your carrier for its review and response.  your carrier has provided the fcc with a response to your complaint. you should receive a copy of the response from the carrier within 7-10 days via postal mail. as such, no further action is required. your complaint is closed.  thank you for your complaint and help in furthering the fcc’s mission on behalf of consumers.",2015-06-05,4:38:35 PM,internet,Philadelphia,Pennsylvania,19139,solved,No,6.0,5.0,"['installation_issue', 'equipment_issue', 'service_change', 'customer_service']",installation_issue,4,2015.0,Friday
253290,"i have been a customer of comcast for using the internet service they provide.  my account number with them is .  i had requested them to disconnect their service at my apartment in july 2014. ( they claim that they have no records about it. )  my account number from university credit union bank was assigned on an auto-pay. i assumed that my account has been disconnected and my card is not being charged. i had not been using any of their equipment or services from them since july 2014.  i only figured out yesterday apr. 22.2015 that my account is being charged, since jul 2014 until april 2015. upon getting to know this, i immediately called the customer care to inquire about it and asked them to terminate their service (which they probably did not in jul 2014. ) i explained to them what has happened and they said i have an equipment with me which i need to return and that is the reason why i was being charged. ( the point being, i never used that equipment and they also never sent me a letter, or an email or a phone call that they needed it back and i was being charged for it. ) they said they will only reimburse me for last 3 months.  i went to the comcast store at 1795 e, holladay murray rd. in salt lake city, ut. on apr 22, 2015 and also today 23, 2015 to return the equipment ( this equipment was returned the same way it was arrived, it was never used) . firstly, the employees over there, do not respond normally and have a sense of arrogance in the way they talk. they said, they could do nothing about re-imbursing my account from jul 2014 to apr 2015. and i should talk to the supervisor over the phone as their supervisor was busy.  after, multiple holding over the phone i got to the supervisor and he said that he also could not do anything and would re-imburse the money for last 3 months.  my request is to have the money back from jul 2014 to whatever has been charged until apr 2015 from them as i was not using their service. i am an international student at university of utah and all the money that has gone to them for their un used service is hard earned money. please help me, in resolving this.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 4/24/2015 3:58:23 pm:  this constitutes a notice of informal complaint filed with the fcc against your company. your response to the consumer (with a copy to the fcc) is due no later than 30 days from the date of this notice.  for more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.  if you have any questions regarding this notice, please contact the fcc at carriersupport@fcc.gov.",2015-04-23,4:21:23 PM,internet,Salt Lake City,Utah,84102,closed,No,4.0,23.0,"['billing_issue', 'contract_dispute', 'outage_compensation', 'installation_issue', 'equipment_issue', 'service_change', 'customer_service']",billing_issue,7,2015.0,Thursday
240653,"i have tried for months now to get comcast service into my home. a price was offered and service requested. the service has been absolutely the worst and i can only imagine that they want me to give up. the details are too long to enter here. but in brief. after several months of dealing with them i thought they would finally send the right person out to the house. what we need is for them to get the cable line from the main source which is 20 yards from my property connected to my house. then they can send a technician to install the cable tv, internet and telephone service. they have repeatedly set appointments (giving anywhere from 2 hours to 8 hour windows everytime). either no one shows up or the wrong people show up. i've had two or three surveys done that supposedly identifies the work that needs to be done. they have come to the house 5 times already but always send the wrong person. they seem to be unable to have someone dispatch the person that can bore a hole and bring the cable to my property. i've spent countless hours (literally being put on hold for 1 hour in order to speak to a supervisor and eventually only got her assistant) on the phone and always with a different person because they don't call you back or follow up even though they have promised many times to call back and follow up. it happened again today, where they promised this time to send the correct person and again it was the wrong person. in fact it was a guy who has himself been to the house now 3 times. he's laughing at this point. comcast always sends a subcontractor who tells me they have no way to call someone directly at comcast. i've gone to their local office and get no help even though they also promised to follow up. a year or so ago, before i even thought of getting comcast, when they asked for my permission to have access to my property so they could lay some cable down our street i agreed. but now that i want them to connect that cable to my house they seem inept and unable to do anything properly. i especially hate that i have no way to follow up with anyone, always having to start over with a new sales person. i've spoken to countless supervisors who are equally incompentant it would seem, unless their aim is to have me give up so that they don't actually have to lay the cable to my house. i need help . this is issue is about internet, cable tv and phone service.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 4/24/2015 3:21:37 pm:  this constitutes a notice of informal complaint filed with the fcc against your company. your response to the consumer (with a copy to the fcc) is due no later than 30 days from the date of this notice.  for more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.  if you have any questions regarding this notice, please contact the fcc at carriersupport@fcc.gov.",2015-04-16,10:13:04 PM,internet,Miami,Florida,33133,closed,No,4.0,16.0,"['contract_dispute', 'installation_issue', 'equipment_issue', 'network_issue', 'service_change', 'customer_service']",contract_dispute,6,2015.0,Thursday
365648,"billing issues with comcast. the consumer accepted to pay $29.99 for internet and basic cable tv services and suddenly the bill started to come for over $60 and then comcast disconnected the services and charged him for reconnection fees and the total amount for the bill was $130 w/o his knowledge. comcast is placing charges called “others” on the consumer’s bill and they refuse to explain what those charges are for. resol: the consumer wishes to pay $30 as he initially agreed to pay for internet and basic cable tv services. ctr-11  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 6/29/2015 11:19:39 am:  this constitutes a notice of informal complaint filed with the fcc against your company. your response to the consumer (with a copy to the fcc) is due no later than 30 days from the date of this notice.  for more information on your legal responsibilities, see https://us-fcc.app.box.com/complaintnotice.  if you have any questions regarding this notice, please contact the fcc at carriersupport@fcc.gov.  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 7/21/2015 8:04:50 am:  hi  your ticket no. 365648 was served on your carrier for its review and response.  your carrier has provided the fcc with a response to your complaint. you should receive a copy of the response from the carrier within 7-10 days via postal mail. as such, no further action is required. your complaint is closed.  thank you for your complaint and help in furthering the fcc’s mission on behalf of consumers.",2015-06-25,2:50:58 PM,internet,East Chicago,Indiana,46312,solved,Yes,6.0,25.0,"['billing_issue', 'installation_issue', 'equipment_issue', 'network_issue', 'service_change', 'customer_service']",billing_issue,6,2015.0,Thursday
230159,"this is a 2-part complaint.  the first is the data cap imposed by comcast as a ""trial"" basis in select cities. they only notified users by email, which is often their comcast email, not their personal one. at the time i signed up for service, to my recollection, i was not allowed to make my personal email the preferred method of contact. it was not an email i requested and i was not intending on using it at all. if i had checked it, which i had no reason to do, i would have seen the notification about the overage.  comcast allows 3 ""grace"" months going over the 300gb cap, after which any month with an overage will generate a charge of $10 per 50gb even if only a few kilobytes above the monthly limit. i was unaware of the cap due to this reason, and only became aware with a bill including overage charges. this overage was during feb 2015 when our area (and much of the eastern seaboard) was in an ice/snow period and many people were inside for days. a guest in my house apparently watched netflix 24 hours a day and caused the very significant overage. (about 321gb over the cap i was unaware of). according to comcast records in my account, these 321gb took place between 2/20/15-2/28/2015.  i have been in computer science since 1970 and very well understand network issues. in addition, my work has earned a technical grammy in the field of digital audio and i understand ""trial"" and ""beta"" versions. however, we did not penalize our testers, as comcast is doing. the ""trial"" they are conducting is simply to see how many complaints they get before attempting to roll out data caps nationwide. some people have commented that comcast only puts data caps in where they have little competition at speed/price points.  as the fcc has ruled that the internet is a utility, net neutrality is ensured (for now) and comcast is simply going after anyone who is using data (and assuming they are doing so to watch netflix, etc.) comcast refuses to refund the overage and refuses to acknowledge their very sketchy communication with their internet subscribers in these ""trial"" cities, listed here: huntsville and mobile, alabama; atlanta, augusta and savannah, georgia; central kentucky; maine; jackson, mississippi; knoxville, nashville and memphis, tennessee; charleston, south carolina; tucson, arizona. [http://customer.comcast.com/help-and-support/internet/data-usage-trials/] my request is that the fcc look into this data cap issue, evaluate the fairness of such a ""trial"" practice, and determine what is best for the marketplace.  the second part of the complaint is related to comcast's interference with the free market. as i have comcast cable internet at the time of writing (50mbps down, 12mbps up), i was interested in finding out about at&t fiber-based service. i felt that if i subscribed to at&t and comcast simultaneously, i  could see if at&t's fastest-available speeds (18mbps/1.5mbps) and somewhat lower cost was offset by the dedicated speed, as comcast suffers from speed lag during heavy neighborhood usage. after an hour of going over details with at&t, the customer support person came back after a consultation, vexed that she could not order the installation because comcast leases some lines from at&t as part of their network and at&t was barred from installing any internet service into the same physical residence. only after comcast was totally disconnected could at&t install their fiber-system. this was a rather unpleasant fact to discover, and i can only imagine it is due to a contractual limitation demanded by comcast when leasing the lines (a portion of the dsl infrastructure) from at&t. this makes it *impossible* for a consumer to evaluate the services and make an informed decision without substantially interfering with their internet service as there's no way to guarantee service from both companies in the same day. in addition, it would require an additional financial investment to try at&t out, and possibly have to go back to comcast (reconnection fees, etc.). in addition, i may not get the same price i have now for comcast, etc. this is market interference, and the consumer has no idea that comcast is leasing data trunks from at&t to make their service work, nor that they can not have both services in the same residence. i request the fcc to evaluate this interference in the free market, especially in a market with few choices (knoxville, tn).  - - - - - - - - - - - - - - - - - - - - -  follow-up message by fcc on 5/29/2015 7:55:33 am:  thank you for commenting on the fcc’s proceeding to consider rules to protect the open internet. your comment, however, arrived after the open internet matter was listed on the sunshine agenda on february 19 (a week before the open meeting), and under our rules, it cannot be considered by decision makers or be made part of the public record.",2015-04-10,10:38:10 PM,internet,Knoxville,Tennessee,37920,closed,No,4.0,10.0,"['billing_issue', 'contract_dispute', 'installation_issue', 'equipment_issue', 'network_issue', 'service_change', 'customer_service']",billing_issue,7,2015.0,Friday
